entity_name,address_and_city,state,zip,country,unique_id,entity_id
ACME TRADING LTD,LOS ANGELES,CA,90210,US,454,6
ACME INVESTMENTS LTD,,NY,10003,US,455,6
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,456,6
TYCHO FEEDER FUND,INC,NC,,US,457,6
ACME INVESTMENTS LTD,,,,,458,6
PA CIFIC TRUST INC,ZURICH CHE,,,,459,6
NORTH SEA SHIPPING BV,SG SGP,,,,460,6
ACME INVESTMENTS LTD,ROAD TOWN TORTOLA,,,VG,461,6
TYCHO FEEDER FUND,INC LONDON,,,GB,462,6
JOHN DOE ZURICH CHE,JOHN DOE ZURICH CHE,,,,463,79
ACME INVESTMENTS LTD,ROAD TOWN TORTOLA,,,VG,464,6
ACME TRADING LTD,,,,,465,6
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,466,6
NORTH SEA SHIPPING BV,,NY,10003,US,467,6
ALPHA TRUST FBO JANE DOE,ALPHA TRUST FBO JANE DOE,,,,468,231
ACME INVESTMENTS LTD,,,,,469,6
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,470,6
BANK OF CYPRUS LOS ANGELES CA 90210,BANK OF CYPRUS LOS ANGELES,CA,90210,CY,471,95
BANK OF CYPRUS LOS ANGELES CA 90210,BANK OF CYPRUS LOS ANGELES,CA,90210,CY,472,95
ACME TRUST INC,ROAD TOWN TORTOLA,,,VG,473,6
ACME INVESTMENTS LTD,,,,,474,6
ACME TRUST INC,,,,,475,6
ACME INVESTMENTS LTD,LONDON,,,GB,476,6
ACME INVESTMENTS LTD,ROAD TOWN TORTOLA,,,VG,477,6
BANK OF CYPRUS,BANK OF CYPRUS,,,CY,478,6
ACME INVESTMENTS LTD,,,,,479,6
ACME TRUST INC,LONDON,,,GB,480,6
TYCHO FEEDER FUND,INC ROAD TOWN TORTOLA,,,VG,481,6
NORTH SEA SHIPPING BV,,,,,482,6
ACME TRADING LTD,SG SGP,,,,483,6
BANK OF CYPRUS,BANK OF CYPRUS,,,CY,484,6
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,485,6
ALPHA TRUST FBO JANE DOE,ALPHA TRUST FBO JANE DOE,,,,486,231
ACME INVESTMENTS LTD,,,,,487,6
GLOBAL METALS SA,LOS ANGELES,CA,90210,US,488,6
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,489,6
ACME INVESTMENTS LTD,,,,,490,6
ACME INVESTMENTS LTD,ZURICH CHE,,,,491,6
NORTH SEA SHIPPING BV,SG SGP,,,,492,6
ACME TRADING LTD,ZURICH CHE,,,,493,6
ACME INVESTMENTS LTD,,,,,494,6
JOHN DOE,JOHN DOE,,,,495,83
ACME INVESTMENTS LTD,,NY,10003,US,496,6
ACME INVESTMENTS LTD,,,,,497,6
ACME TRUST INC,,NY,10003,US,498,6
ACME TRUST INC,,,,,499,6
